Name,Position,Years,State
Mona Pasquil (D),Acting Lieutenant Governor,2009-2010,CA
Cindy Hyde-Smith (R),Agriculture and Commerce Comm.,2012-present,MS
Susan Combs (R),Agriculture Commissioner,1999-2007,TX
Leslie Rutledge (R),Attorney General,2015-present,AR
Cynthia Coffman (R),Attorney General,2015-present,CO
Maura Healey (D),Attorney General,2015-present,MA
Ellen Rosenblum (D),Attorney General,2013-present,OR
Kathleen Kane (D),Attorney General,2013-2016,PA
Pam Bondi (R),Attorney General,2011-present,FL
Kamala Harris (D),Attorney General,2011-2017,CA
Linda L. Kelly (R),Attorney General,2011-2013,PA
Nancy Rogers (D),Attorney General,2008-2008,OH
Lori Swanson (DFL)**,Attorney General,2007-present,MN
Martha Coakley (D),Attorney General,2007-2015,MA
Catherine Cortez Masto (D),Attorney General,2007-2015,NV
Judy Jagdmann (R)1,Attorney General,2005-2006,VA
Lisa Madigan (D),Attorney General,2003-present,IL
Peg Lautenschlager (D),Attorney General,2003-2007,WI
Karen Freeman-Wilson,Attorney General,2000-2001,IN
Patricia Madrid (D),Attorney General,1999-2007,NM
Janet Napolitano (D),Attorney General,1999-2003,AZ
Jennifer Granholm (D),Attorney General,1999-2003,MI
M. Jane Brady (R),Attorney General,1995-2005,DE
Carla J. Stovall (R),Attorney General,1995-2003,KS
Betty Montgomery (R),Attorney General,1995-2003,OH
Christine O. Gregoire (D),Attorney General,1993-2005,WA
Heidi Heitkamp (D),Attorney General,1993-2001,ND
Jan Graham (D),Attorney General,1993-2001,UT
Pamela Carter (D),Attorney General,1993-1997,IN
Frankie Sue Del Papa (D),Attorney General,1991-2003,NV
Gale A. Norton (R),Attorney General,1991-1999,CO
Bonnie Campbell (D),Attorney General,1991-1995,IA
Susan Loving (D)2,Attorney General,1991-1995,OK
Clarine Nardie Riddle (D)2,Attorney General,1988-1990,CT
Mary Sue Terry (D)2,Attorney General,1986-1993,VA
Arlene Violet (R),Attorney General,1985-1987,RI
Mary Stallcup (D)2,Attorney General ,1991,AR
Barbara H. Hafer (R),Auditor General,1989-1997,PA
Grace McCalmont (D),Auditor General,1965-1968,PA
Alex Sink (D),Chief Financial Officer,2007-2011,FL
Sarah Vogel (D),Comm. of Agriculture,1989-1997,ND
Betty Castor (D),Comm. of Education,1987-1993,FL
Suzanne Haik Terrell (R),Comm. of Elections,2000-2004,LA
Karen Weldin Stewart (D),Comm. of Insurance,2009-present,DE
Donna Lee Williams (R),Comm. of Insurance,1993-2005,DE
Deborah Senn (D),Comm. of Insurance,1993-2001,WA
Evelyn E. Gandy (D),Comm. of Insurance,1972-1976,MS
Jennifer Belcher (D),Comm. of Lands,1993-2001,WA
Hilary Franz (D),Comm. of Public Lands,2017-present,WA
Meg Scott Phipps (D),Commissioner of Agriculture,2001-2003,NC
Kate Barnard,Commissioner of Charities and Corrections,1907-1914,OK
Sandy Praeger (R),Commissioner of Insurance,2003-2015,KS
Kathleen Sebelius (D),Commissioner of Insurance,1995-2002,KS
Brenda Reneau Wynn (R),Commissioner of Labor,1995-2007,OK
Mary Wendy Roberts (D),Commissioner of Labor,1979-1995,OR
Cherie Berry (R),Commissoner of Labor,2001-present,NC
Gloria Tristani (D),Corporation Comm.,1995-1997,NM
Susan Bitter Smith (R),Corporation Commissioner,2013-2016,AZ
Patrice Douglas (R),Corporation Commissioner,2012-2015,OK
Brenda Burns (R),Corporation Commissioner,2011-2015,AZ
Dana Murphy (R),Corporation Commissioner,2009-present,OK
Sandra Kennedy (D),Corporation Commissioner,2003-2013,AZ
Kristin K. Mayes (R),Corporation Commissioner,2003-2011,AZ
Marcia Weeks (D),Corporation Commissioner,1985-1999,AZ
Sharon Megdal (D)5,Corporation Commissioner,1985-1986,AZ
Norma Eagleton (D),Corporation Commissioner,1981-1988,OK
Diane McCarthy (R),Corporation Commissioner,1981-1984,AZ
Marianne Jennings (R)6,Corporation Commissioner,1984,AZ
Denise Bode (R)1,Corporation Commissoner,1997-2007,OK
Kay Ivey (R),Governor,2017-present,AL
Kate Brown (D),Governor,2015-present,OR
Gina Raimondo (D),Governor,2015-present,RI
Maggie Hassan (D),Governor,2013-2017,NH
Kim Reynolds (R),Governor,2011-present,IA
Susana Martinez (R),Governor,2011-present,NM
Mary Fallin (R),Governor,2011-present,OK
Nikki Haley (R),Governor,2011-2017,SC
Jan Brewer (R),Governor,2009-2015,AZ
Beverly M. Perdue (D),Governor,2009-2013,NC
Sarah Palin (R),Governor,2007-2009,AK
Christine O. Gregoire (D),Governor,2005-2013,WA
M. Jodi Rell (R),Governor,2004-2011,CT
Kathleen Blanco (D),Governor,2004-2007,LA
Linda Lingle (R),Governor,2003-2011,HI
Jennifer Granholm (D),Governor,2003-2011,MI
Janet Napolitano (D),Governor,2003-2009,AZ
Kathleen Sebelius (D),Governor,2003-2009,KS
Olene S. Walker (R),Governor,2003-2005,UT
Ruth Ann Minner (D),Governor,2001-2009,DE
Judy Martz (R),Governor,2001-2005,MT
Jane Swift (R),Governor,2001-2003,MA
Nancy P. Hollister (R),Governor,1998-1999,OH
Jeanne Shaheen (D),Governor,1997-2003,NH
Christine Todd Whitman (R),Governor,1994-2001,NJ
Joan Finney (D),Governor,1991-1995,KS
Barbara Roberts (D),Governor,1991-1995,OR
Ann Richards (D),Governor,1991-1995,TX
Rose Mofford (D),Governor,1988-1991,AZ
Kay A. Orr (R),Governor,1987-1991,NE
Madeleine M. Kunin (D),Governor,1985-1991,VT
Martha Layne Collins (D),Governor,1984-1987,KY
Vesta Roy (R),Governor,1982-1983,NH
Dixy Lee Ray (D),Governor,1977-1981,WA
Ella T. Grasso (D),Governor,1975-1980,CT
Lurleen Wallace (D),Governor,1967-1968,AL
Miriam Ferguson (D),Governor,1925-1927,TX
Miriam Ferguson (D),Governor,1933-1935,TX
Nellie Tayloe Ross (D),Governor,1925-1927,WY
Jane Dee Hull (R),Governor,1997-2003,AZ
Kim Holland (D),Insurance Commissioner,2005-2011,OK
Bethany Hall-Long (D),Lieutenant Governor,2017-present,DE
Suzanne Crouch (R),Lieutenant Governor,2017-present,IN
Donna Lynne (D),Lieutenant Governor,2016-present,CO
